Hash,File,LA,LD,LT,isAdded,isRemoved
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/saved_searches.t,117,0,118,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/search.t,71,0,72,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/security.t,198,0,199,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/shared_searches.t,199,0,200,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/show_all_products.t,56,0,57,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/shutdown.t,77,0,78,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/status_whiteboard.t,118,0,119,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/strict_isolation.t,145,0,146,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/sudo_sessions.t,158,0,159,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/target_milestones.t,111,0,112,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/time_summary.t,101,0,102,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/user_groups.t,249,0,250,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/user_matching.t,188,0,189,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/user_preferences.t,225,0,226,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/user_privs.t,60,0,61,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/selenium/votes.t,233,0,234,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/webservice/bug_add_attachment.t,231,0,232,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/webservice/bug_add_comment.t,173,0,174,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/webservice/bug_attachments.t,155,0,156,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/webservice/bug_comments.t,178,0,179,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/webservice/bug_create.t,243,0,244,1,0
2c33712dc066463ab9741a009e56d9a5c2ffedf6,buglist.cgi,1,1,1131,0,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/webservice/bug_fields.t,223,0,224,1,0
9b6ec1f545da1cc4088ddf9cc117747954e58e65,xt/webservice/bug_get.t,150,0,151,1,0
